tanggal_kejadian,lokasi_kejadian,wilayah,sarana_rusak,kategori_sarana_rusak,penyebab_bencana,jumlah_sarana_menangani,tim_yang_menangani,lokasi_pengungsi,kerugian
1/5/17,Jl. Kwitang Raya RT. 04 RW. 01 Kel. Senen Kec. Senen,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,17,Dinas Pemadam Kebakaran ,Tidak ada,100000000
1/12/17,"Jl. Setiakawan 19, RT.02/07 Kel. Duri Pulo Kec. Gambir",Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,2000000
1/17/17,"Jl. Bungur Raya, Pasar Inpres Senen Blok VI D Kel. Senen Kec. Senen",Jakarta Pusat,14,Kios,Korsleting Listrik,17,Dinas Pemadam Kebakaran ,Tidak ada,600000000
1/19/17,Jl. Letjen Suprapto Pasar Senen Blok 1 dan 2 Kel. Senen Kec. Senen,Jakarta Pusat,1691,Kios,Korsleting Listrik,70,Dinas Pemadam Kebakaran ,Tidak ada,0
1/19/17,Jl. Kramat Bunder RT. 16 RW. 01 Kel. Kramat Kec. Senen,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,500000
1/19/17,Jl. Letjen Soeprapto Kel. Senen Kec. Senen,Jakarta Pusat,1,Ruko,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,500000
1/20/17,Jl. Tabing Komplek Angkasa Pura Blok L RT. 04 RW. 07 Kel. Gunung Sahari Utara Kec. Sawah Besar,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,20000000
1/22/17,"Jl. K.H Mas Mansyur, Kav 1 (Apartemen Casa Domaine) Kel. Karet Tengsin Kec. Tanah Abang",Jakarta Pusat,1,Ruangan,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,5000000
1/22/17,Jl. Kartini XIII Rt. 11 RW. 02 Kel. Kartini Kec. Sawah Besar,Jakarta Pusat,1,Kamar Kos,Kompor Gas,1,Dinas Pemadam Kebakaran ,Tidak ada,50000000
1/23/17,Jl. Garuda No. 33 Kel. Gunung Sahari Selatan Kec. Kemayoran,Jakarta Pusat,1,Ruangan,Korsleting Listrik,7,Dinas Pemadam Kebakaran ,Tidak ada,50000000
1/25/17,Jl. H. Munasir 10 RT/RW 012/02 Kel. Cempaka Putih Barat Kec. Cempaka Putih,Jakarta Pusat,3,Rumah Tinggal,Korsleting Listrik,18,Dinas Pemadam Kebakaran ,Tidak ada,900000000
1/25/17,Jl. H. Munasir 10 RT/RW 012/02 Kel. Cempaka Putih Barat Kec. Cempaka Putih,Jakarta Pusat,4,Rumah Petak,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,Tidak ada,0
1/26/17,Jl. Cempaka Putih IV No. 8 RT. 03 RW. 02 Kel. Cempaka Putih Barat Kec. Cempaka Putih,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,4,Dinas Pemadam Kebakaran ,Tidak ada,500000
1/1/17,Jl. Cikijang RT. 08 RW. 11 Kel. Koja Kec. Koja,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,100000
1/1/17,Jl. Kramat Jaya Gg. 2D1 No. 31 RT. 05 RW. 01 Kel. Lagoa Kec. Koja,Jakarta Utara,4,Rumah Tinggal,Korsleting Listrik,8,Dinas Pemadam Kebakaran ,Tidak ada,300000000
1/3/17,Jl. Pademangan Timur 3 Gg. 6 No. 9 RT. 06 RW. 09 Kel. Pademangan Timur Kec. Pademangan,Jakarta Utara,2,Rumah Tinggal,Korsleting Listrik,11,Dinas Pemadam Kebakaran ,Tidak ada,2000000000
1/6/17,Jl. Kali Baru Barat IV RT. 02 RW. 07 Kel. Kalibaru Kec. Cilincing,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,7,Dinas Pemadam Kebakaran ,Tidak ada,150000000
1/12/17,Jl. Y2 No. 22 RT. 05 RW. 10 Kel. Semper Barat Kec. Cilincing,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,0
