max temp,min temp,Daily total rainfall,Humid 8:30,Humid 17:30
39.4,27.6,000.0,066,036
39.9,28.0,000.0,066,039
39.4,28.0,000.0,069,037
38.4,27.5,000.0,067,043
39.4,27.6,000.0,067,034
39.4,28.1,000.0,065,036
39.7,28.6,000.0,068,039
39.4,28.0,000.0,066,038
39.5,28.6,000.0,066,041
39.9,28.0,000.0,066,043
39.2,27.6,000.0,070,045
40.1,27.7,000.0,071,049
39.9,27.3,000.0,075,045
39.0,27.9,000.0,079,050
36.5,27.2,000.3,074,053
37.3,25.0,001.2,086,069
32.7,26.0,001.3,093,069
33.0,25.8,035.5,091,082
31.7,23.8,021.8,093,077
33.5,24.4,004.2,085,053
34.9,26.2,000.0,083,048
35.9,26.5,000.0,079,052
35.5,26.0,000.6,089,072
30.6,23.8,089.3,098,098
26.4,23.1,060.0,098,091
30.5,24.5,002.7,088,071
33.5,24.4,081.3,097,070
33.0,24.5,001.0,097,070
32.6,25.5,001.7,091,092
31.0,23.2,288.1,100,083
31.2,24.6,018.9,094,075
33.4,25.8,000.6,092,079
32.8,25.9,000.1,094,095
32.6,25.5,010.9,097,080
32.0,25.7,010.4,087,072
32.6,24.5,009.4,092,091
31.4,24.6,010.7,092,094
29.7,25.0,003.7,092,077
31.0,24.8,005.0,089,080
32.9,24.3,000.9,089,073
33.7,24.9,000.0,089,069
33.7,26.0,000.0,082,070
33.6,25.6,000.0,090,074
33.9,24.7,002.0,090,097
33.0,24.8,004.2,092,072
33.5,24.8,000.7,095,081
33.7,24.5,000.3,090,074
33.6,24.5,002.3,089,075
33.4,25.6,000.0,089,067
34.4,25.9,000.0,085,070
35.5,26.3,000.0,085,060
35.7,26.3,000.0,081,056
35.4,26.2,000.0,075,065
35.3,26.5,000.0,079,081
33.1,25.7,000.6,081,095
35.1,24.2,001.0,083,072
33.3,25.6,000.8,079,056
34.4,25.0,000.0,081,062
34.5,26.0,000.0,081,061
35.4,26.0,004.9,079,056
35.6,23.5,013.7,097,085
30.4,23.2,022.6,097,069
